scientific_name,backup_obs_count,backup_unique_users,backup_unique_days,lat_std,lon_std,backup_research_prop,iconic_taxon_name,common_name,present_in_main
Ammophila aberti,10,8,10,0.01110149901202769,0.0029622213319673357,0.0,Insecta,Abert's Thread-waisted Wasp,1
Ammophila procera,3,3,3,0.0043031921012132435,0.001035293909662726,0.0,Insecta,Common Thread-waisted Wasp,0
Ammotrechidae,1,1,1,0.0,0.0,0.0,Arachnida,Curve-faced Windscorpions,0
Amoebozoa,2,1,1,0.0011344891908026456,0.0008886783675629061,0.0,Protozoa,Amoebae,0
Amorpha,1,1,1,0.0,0.0,0.0,Plantae,False Indigos,0
Amorpha fruticosa,21,18,21,0.0003522848012192225,0.0012177955475481594,0.8571428571428571,Plantae,false indigo bush,0
Ampedus longicornis,1,1,1,0.0,0.0,1.0,Insecta,Unknown,0
Amphicyrta,3,1,2,0.00020575196008739652,0.00011326807673829337,0.0,Insecta,Unknown,0
Amphicyrta dentipes,1,1,1,0.0,0.0,0.0,Insecta,Unknown,0
Amphipoda,1,1,1,0.0,0.0,0.0,Animalia,Amphipods,1
Amphisbetia furcata,2,2,2,0.002879496002828793,0.0003519820578938675,0.5,Animalia,Unknown,1
Amphispiza bilineata,1,1,1,0.0,0.0,1.0,Aves,Black-throated Sparrow,0
Amphistichus argenteus,2,2,2,0.00989980613431,0.002387594412780369,1.0,Actinopterygii,Barred Surfperch,1
Amphora,1,1,1,0.0,0.0,0.0,Chromista,Unknown,0
Ampithoidae,1,1,1,0.0,0.0,0.0,Animalia,Unknown,1
Amsinckia,6,6,6,0.0046934114272467724,0.00690505253540392,0.0,Plantae,Fiddlenecks,1
Amsinckia menziesii,14,10,14,0.004771341430752227,0.0074004162788110185,0.35714285714285715,Plantae,Common Fiddleneck,1
Amsinckia menziesii intermedia,7,6,7,0.004456575032932903,0.00399870034195779,1.0,Plantae,Rancher's fiddleneck,0
Anachemmis,1,1,1,0.0,0.0,0.0,Arachnida,Unknown,0
Anacolia,1,1,1,0.0,0.0,0.0,Plantae,Unknown,0
Anacolia menziesii,9,5,9,0.013073144664971222,0.006897159473855786,0.7777777777777778,Plantae,Menzies' anacolia moss,0
Anacolia menziesii baueri,2,2,2,0.0018691189720706144,0.003845482425493839,0.5,Plantae,Bauer's anacolia moss,0
Anambodera,1,1,1,0.0,0.0,0.0,Insecta,Unknown,0
Anarhynchus nivosus,1,1,1,0.0,0.0,1.0,Aves,Snowy Plover,0
Anas acuta,6,5,5,0.0053652269514047005,0.004693903743769397,1.0,Aves,Northern Pintail,0
Anas crecca,2,1,1,0.0013947678430483096,0.0014533158602698627,1.0,Aves,Green-winged Teal,0
Anas platyrhynchos,12,12,12,0.009388918058924032,0.008248985615477678,0.9166666666666666,Aves,Mallard,0
Anas platyrhynchos platyrhynchos,1,1,1,0.0,0.0,1.0,Aves,Holarctic Mallard,0
Anastoechus,3,2,3,0.005905116261362152,0.0006333436059184007,0.0,Insecta,Unknown,0
Anatherum eremicum,1,1,1,0.0,0.0,0.0,Plantae,southwestern bushy bluestem,0
Anatidae,1,1,1,0.0,0.0,0.0,Aves,"Ducks, Geese, and Swans",1
Anax junius,3,3,2,0.00043163387743772627,0.003637054852935135,1.0,Insecta,Common Green Darner,0
Anchoa compressa,1,1,1,0.0,0.0,1.0,Actinopterygii,Deep-body Anchovy,0
Ancistrocerus,1,1,1,0.0,0.0,0.0,Insecta,Unknown,0
Ancistrocerus bustamente,2,1,2,0.011574912612585603,0.00016463743962814533,0.5,Insecta,Unknown,0
Andrena,89,27,57,0.006702784826481335,0.006317492309429629,0.011235955056179775,Insecta,Mining Bees,0
Andrena caliginosa,7,2,3,0.0016930068296766218,0.0024103508923165448,1.0,Insecta,Chaparral Currant Miner,0
Andrena oenotherae,3,3,3,0.0009706338936831891,0.0006287631908135234,1.0,Insecta,Oenothera Miner,0
Andrenidae,1,1,1,0.0,0.0,0.0,Insecta,"Miner, Fairy, Allied Panurgine, and Oxaeine Bees",0
Andricus brunneus,1,1,1,0.0,0.0,0.0,Insecta,Clustered Gall Wasp,0
Andricus chrysolepidicola,6,6,6,0.012544911147476254,0.002906758431077737,0.3333333333333333,Insecta,Irregular Spindle Gall Wasp,0
Andricus quercuscalifornicus,42,32,38,0.0074637553645742006,0.004756463496258848,0.8333333333333334,Insecta,California Gall Wasp,0
Andricus reticulatus,1,1,1,0.0,0.0,0.0,Insecta,Unknown,0
Anemopsis californica,18,17,15,0.004682288870909782,0.004303638228432005,1.0,Plantae,Yerba Mansa,0
