scientific_name,backup_obs_count,backup_unique_users,backup_unique_days,lat_std,lon_std,backup_research_prop,iconic_taxon_name,common_name,present_in_main
Porzana carolina,1,1,1,0.0,0.0,1.0,Aves,Sora,0
Procambarus clarkii,1,1,1,0.0,0.0,1.0,Animalia,Red Swamp Crayfish,1
Procyon lotor,2,2,2,0.002922219889526997,0.0013151520742475348,1.0,Mammalia,Common Raccoon,1
Pruinomycena acicula,1,1,1,0.0,0.0,1.0,Fungi,orange bonnet,0
Psathyrella bipellis,1,1,1,0.0,0.0,0.0,Fungi,Maroon Brittlestem,0
Psathyrella longipes,1,1,1,0.0,0.0,1.0,Fungi,Tall Psathyrella,0
Pseudacris regilla,8,6,7,0.002488412623564789,0.001550916198899284,1.0,Amphibia,Pacific chorus frog,1
Pseudognaphalium,4,4,4,0.0018414052289452611,0.0009929436962540907,0.0,Plantae,rabbit-tobaccos,1
Pseudognaphalium beneolens,1,1,1,0.0,0.0,1.0,Plantae,Fragrant Everlasting,0
Pseudognaphalium biolettii,9,6,9,0.002027592213328959,0.0008084115963536649,0.8888888888888888,Plantae,two-color rabbit tobacco,0
Pseudognaphalium californicum,9,8,8,0.001597535940631941,0.0013408389780474768,0.8888888888888888,Plantae,California cudweed,1
Pseudognaphalium microcephalum,1,1,1,0.0,0.0,0.0,Plantae,Feltleaf Everlasting,0
Pseudognaphalium stramineum,1,1,1,0.0,0.0,0.0,Plantae,cottonbatting plant,0
Pterygota,1,1,1,0.0,0.0,0.0,Insecta,Winged and Once-winged Insects,0
Punctularia atropurpurascens,1,1,1,0.0,0.0,0.0,Fungi,Purple Fuzz,0
Quercus,12,8,9,0.0018710056855409524,0.0010807004774593936,0.0,Plantae,oaks,1
Quercus agrifolia,38,28,29,0.0020531475237025223,0.0012351774907561658,0.6052631578947368,Plantae,coast live oak,1
Quercus agrifolia agrifolia,1,1,1,0.0,0.0,1.0,Plantae,California Live Oak,0
Quercus berberidifolia,5,4,4,0.0015484295008353593,0.00036908360809791857,0.0,Plantae,California scrub oak,0
Quercus berberidifolia × engelmannii,1,1,1,0.0,0.0,0.0,Plantae,Unknown,0
Quercus dumosa,1,1,1,0.0,0.0,1.0,Plantae,Nuttall's scrub oak,0
Quercus wislizeni,1,1,1,0.0,0.0,0.0,Plantae,interior live oak,0
Quiscalus mexicanus,8,8,8,0.0005493704941970857,0.00027089770479615533,1.0,Aves,Great-tailed Grackle,0
Rabdophaga salicisbatatus,1,1,1,0.0,0.0,1.0,Insecta,Potato Gall Midge,0
Ramosissimae,1,1,1,0.0,0.0,0.0,Plantae,Unknown,1
Reithrodontomyini,1,1,1,0.0,0.0,0.0,Mammalia,Harvest and Deer Mice,0
Rhamnus,3,3,3,0.002959451170383583,0.0027694383615815762,0.0,Plantae,Buckthorns,0
Rhamnus crocea,13,10,13,0.002632198203123825,0.0006728616749523915,0.7692307692307693,Plantae,Redberry Buckthorn,1
Rhamnus ilicifolia,1,1,1,0.0,0.0,1.0,Plantae,hollyleaf redberry,1
Rhopalomyia audibertiae,3,2,3,0.0018787822075322367,0.00042359902586801566,0.0,Insecta,White Sage Leaf Gall Midge,1
Rhopalomyia californica,5,4,5,0.0007797235681538279,0.00048436185276557207,1.0,Insecta,Coyote Brush Bud Gall Midge,1
Rhus integrifolia,18,14,17,0.0015348156391749282,0.0017315375629024016,1.0,Plantae,lemonade berry,1
Rhynchophorus palmarum,1,1,1,0.0,0.0,0.0,Insecta,South American Palm Weevil,0
Ribes,5,5,5,0.0016767786217457307,0.0006095680398106289,0.0,Plantae,currants and gooseberries,1
Ribes indecorum,24,18,21,0.002022355437535396,0.0004637132264163131,0.75,Plantae,White-flowering Currant,1
